,Unnamed: 0,Country,Year,MedalsWon,GDP,Children,Emissions,Gini,Internet_Users,Life_Expectancy,Population,MedalsWon_Total,pred
0,0,AFG,1896,0,1.05,7.0,0.0,38.35,0.0,32.625,4610000.0,2,0.0
1,1,AFG,1900,0,1.05,7.0,0.0,39.55,0.0,33.400000000000006,4732500.0,2,0.0
2,2,AFG,1904,0,1.05,7.0,0.0,40.75,0.0,34.2,4950000.0,2,0.0
3,3,AFG,1908,0,1.05,7.0,0.0,42.0,0.0,34.95,5270000.0,2,0.0
4,4,AFG,1912,0,1.1425,7.0,0.0,42.425,0.0,35.7,6422500.0,2,0.0
5,5,AFG,1920,0,1.42,7.0,0.0,40.7,0.0,37.2,10067500.0,2,0.0
6,6,AFG,1924,0,1.42,7.0075,0.0,39.75,0.0,38.0,8660000.0,2,0.0
7,7,AFG,1928,0,1.42,7.095,0.0,38.825,0.0,38.7,7050000.0,2,0.0
8,8,AFG,1932,0,1.42,7.200000000000001,0.0,37.925,0.0,39.5,6427500.0,2,0.0
9,9,AFG,1936,0,1.42,7.297499999999999,0.0,37.1,0.0,40.2,6410000.0,2,0.0
10,10,AFG,1948,0,1.42,7.547499999999999,0.003205,34.875,0.0,42.45,7302500.0,2,0.0
11,11,AFG,1952,0,3.5,7.545,0.012375,35.0,0.0,43.2,7715000.0,2,0.0
12,12,AFG,1956,0,2.847,7.5,0.0282,35.349999999999994,0.0,44.2,8150000.0,2,0.0
13,13,AFG,1960,0,2.03875,7.4525,0.0542249999999999,34.65,0.0,45.125,8712500.0,2,0.01
14,14,AFG,1964,0,1.51125,7.45,0.0920499999999999,32.725,0.0,46.0,9467500.0,2,0.05
15,15,AFG,1968,0,2.2875,7.45,0.118625,31.35,0.0,46.8,10375000.0,2,0.02
16,16,AFG,1972,0,2.495,7.45,0.146,32.45,0.0,47.325,11450000.0,2,0.03
17,17,AFG,1976,0,1.97,7.45,0.166,33.0,0.0,47.375,12550000.0,2,0.33
18,18,AFG,1980,0,3.4325,7.45,0.153,32.9,0.0,44.2,11700000.0,2,0.05
19,19,AFG,1984,0,-1.0860000000000003,7.4575,0.24825,34.275,0.0,41.875,10262500.0,2,0.11
20,20,AFG,1988,0,-7.421500000000001,7.462499999999999,0.2395,37.0,0.0,50.22500000000001,10525000.0,2,0.06
21,21,AFG,1992,0,0.2125000000000002,7.5225,0.1095,37.675,0.0,54.075,13075000.0,2,0.07
22,22,AFG,1996,0,11.625,7.625,0.05955,37.7,0.0,54.2,17450000.0,2,0.19
23,23,AFG,2000,0,6.66,7.43,0.040475,37.7,0.00118,54.925,19875000.0,2,0.2
24,24,AFG,2004,0,9.0275,6.9025,0.05035,37.7,0.354615,57.3,24000000.0,2,0.74
25,25,AFG,2008,1,11.085,6.1425,0.19095,37.7,2.35,59.525,26975000.0,2,0.91
26,26,AFG,2012,1,8.75,5.2375,0.32325,37.7,5.0875,61.55,31250000.0,2,0.57
27,27,ALG,1896,0,2.0275,6.99,0.0,42.4,0.0,31.75,4545000.0,15,0.0
28,28,ALG,1900,0,2.025,6.99,0.0,42.4,0.0,32.300000000000004,4757500.0,15,0.0
29,29,ALG,1904,0,2.0275,6.99,0.0,42.4,0.0,30.8,5062500.0,15,0.0
30,30,ALG,1908,0,2.025,6.99,0.0,42.4,0.0,33.25,5390000.0,15,0.02
31,31,ALG,1912,0,1.9475,6.99,0.0,42.4,0.0,35.275,5602500.0,15,0.0
32,32,ALG,1920,0,1.7,6.99,0.0039625,42.4,0.0,33.0,5877500.0,15,0.0
33,33,ALG,1924,0,1.7,6.9975,0.004855,42.4,0.0,37.3,6122500.0,15,0.0
34,34,ALG,1928,0,1.7,7.085,0.011745,42.4,0.0,36.0,6405000.0,15,0.0
35,35,ALG,1932,0,1.7,7.1875,0.017625,42.4,0.0,37.900000000000006,6802500.0,15,0.0
36,36,ALG,1936,0,1.7,7.279999999999999,0.0100575,42.4,0.0,40.7,7290000.0,15,0.02
37,37,ALG,1948,0,1.7,7.4725,0.1781249999999999,42.4,0.0,50.45,8805000.0,15,0.0
38,38,ALG,1952,0,3.46625,7.4375,0.43625,42.4,0.0,55.1,9640000.0,15,0.39
39,39,ALG,1956,0,6.9,7.425,0.5025,42.4,0.0,53.1,10575000.0,15,0.08
40,40,ALG,1960,0,-1.4574999999999996,7.545,0.52625,42.4,0.0,52.0,11500000.0,15,0.04
41,41,ALG,1964,0,7.625,7.67,0.52375,42.4,0.0,56.375,12300000.0,15,0.17
42,42,ALG,1968,0,10.0275,7.66,0.78525,42.4,0.0,56.125,13350000.0,15,0.31
43,43,ALG,1972,0,5.5875,7.5725,1.8825000000000005,42.4,0.0,56.425,14625000.0,15,0.64
44,44,ALG,1976,0,9.035,7.2775,2.5125,42.4,0.0,57.5,16725000.0,15,1.33
45,45,ALG,1980,0,5.12,6.7,2.54,42.4,0.0,59.55,19075000.0,15,0.92
46,46,ALG,1984,2,3.772,5.9375,3.0725,42.4,0.0,63.95,21775000.0,15,1.55
47,47,ALG,1988,0,-0.17075,5.072500000000001,3.28,42.4,0.0,66.8,24550000.0,15,0.27
48,48,ALG,1992,2,-0.6647500000000001,4.09,2.995,42.4,0.0,68.375,27025000.0,15,1.61
49,49,ALG,1996,3,3.365,3.1125,3.27,42.4,0.0035425,69.625,29225000.0,15,2.43
50,50,ALG,2000,5,3.0700000000000003,2.4975,2.825,42.4,0.33955,71.2,30975000.0,15,4.06
51,51,ALG,2004,0,4.887499999999999,2.4825,2.925,42.4,3.565,72.7,32750000.0,15,2.71
52,52,ALG,2008,2,2.6775,2.7825,3.25,42.4,9.5575,74.05,34925000.0,15,1.91
53,53,ALG,2012,1,2.626666666666667,2.9075,3.495,42.4,17.025,75.025,37825000.0,15,1.96
54,54,ARG,1896,0,3.0475,6.3500000000000005,0.54075,47.05,0.0,34.7,4165000.0,70,0.0
55,55,ARG,1900,0,3.7675,5.945,0.5397500000000001,48.25,0.0,37.475,4777500.0,70,0.05
56,56,ARG,1904,0,11.685,5.79,0.7557499999999999,49.400000000000006,0.0,39.95,5537500.0,70,0.24
57,57,ARG,1908,0,5.275,5.525,1.117,50.1,0.0,43.0,6417500.0,70,0.39
58,58,ARG,1912,0,-0.33,5.29,1.3199999999999998,50.150000000000006,0.0,45.575,7245000.0,70,1.63
59,59,ARG,1920,0,5.470000000000001,4.8275,0.62375,48.475,0.0,51.35,8950000.0,70,0.87
60,60,ARG,1924,6,6.2085,4.5375,1.0395,47.375,0.0,53.425,10052500.0,70,0.85
61,61,ARG,1928,7,3.5175,4.215,1.155,46.25,0.0,54.975,11250000.0,70,0.93
62,62,ARG,1932,4,0.5974999999999999,3.845,1.08,46.1,0.0,55.6,12325000.0,70,3.23
63,63,ARG,1936,7,3.25675,3.5075,1.1725,46.55,0.0,57.150000000000006,13225000.0,70,5.18
64,64,ARG,1948,7,4.1425,3.1825,1.16075,48.4,0.0,63.45,16550000.0,70,5.67
65,65,ARG,1952,5,2.0700000000000003,3.155,1.995,44.225,0.0,64.125,17875000.0,70,4.94
66,66,ARG,1956,2,5.355,3.1325000000000003,2.2775,42.125,0.0,65.07499999999999,19200000.0,70,2.87
67,67,ARG,1960,2,1.7400000000000004,3.105,2.4525,41.525,0.0,65.55,20500000.0,70,4.39
68,68,ARG,1964,1,4.46475,3.0650000000000004,2.5875,39.625,0.0,66.07499999999999,21900000.0,70,4.89
69,69,ARG,1968,2,5.28,3.0575,3.1500000000000004,37.025,0.0,66.125,23300000.0,70,2.32
70,70,ARG,1972,1,3.785,3.1775,3.7075,35.175,0.0,67.44999999999999,24800000.0,70,2.07
71,71,ARG,1976,0,0.6354499999999998,3.3675,3.76,37.3,0.0,67.925,26500000.0,70,0.44
72,72,ARG,1980,0,-0.0025000000000002,3.295,3.7775,40.8,0.0,70.30000000000001,28250000.0,70,0.35
73,73,ARG,1984,0,1.7525,3.1100000000000003,3.47,42.3,0.0,71.3,30050000.0,70,0.51
74,74,ARG,1988,2,-1.9775,3.0275,3.645,45.825,0.0,72.25,31925000.0,70,2.02
75,75,ARG,1992,1,8.24,2.8875,3.54,45.775,0.0190475,72.975,33800000.0,70,1.42
76,76,ARG,1996,3,3.8475,2.6875,3.805,49.55,0.334825,73.55,35575000.0,70,2.04
77,77,ARG,2000,4,-4.9517500000000005,2.5525,3.6875,52.0,7.75,74.15,37300000.0,70,4.2
78,78,ARG,2004,6,8.7325,2.4625000000000004,4.055,48.35,16.625,75.0,38900000.0,70,6.35
79,79,ARG,2008,6,6.0920000000000005,2.39,4.52,44.575,33.25,75.67500000000001,40500000.0,70,7.94
80,80,ARG,2012,4,4.736666666666667,2.34,4.6025,41.675,58.675,76.25,42300000.0,70,8.35
81,81,ARM,1896,0,1.61375,8.084999999999999,0.1038,36.925,0.0,36.2,835750.0,11,0.04
82,82,ARM,1900,0,4.5,8.045,0.15025,37.8,0.0,36.125,867000.0,11,0.11
83,83,ARM,1904,0,-2.4075,8.005,0.1525,38.7,0.0,37.0,900000.0,11,0.09
84,84,ARM,1908,0,4.6725,7.965,0.18125,39.45,0.0,38.0,933750.0,11,0.02
85,85,ARM,1912,0,0.9375,7.925,0.2055,39.925,0.0,40.5,969250.0,11,0.02
86,86,ARM,1920,0,-3.7125,7.845000000000001,0.0598,40.2,0.0,35.5,1045000.0,11,0.03
87,87,ARM,1924,0,9.45,7.77,0.094775,40.3,0.0,42.125,1085000.0,11,0.0
88,88,ARM,1928,0,8.397499999999999,7.2675,0.18825,40.375,0.0,44.35,1125000.0,11,0.02
89,89,ARM,1932,0,3.78675,6.66,0.353,40.45,0.0,40.125,1165000.0,11,0.12
90,90,ARM,1936,0,8.021749999999999,6.0525,0.5447500000000001,40.525,0.0,48.7,1205000.0,11,0.0
91,91,ARM,1948,0,11.1825,4.0775,0.7662500000000001,40.8,0.0,46.150000000000006,1355000.0,11,0.51
92,92,ARM,1952,0,4.90025,4.49,0.98575,40.9,0.0,50.55,1487500.0,11,0.07
93,93,ARM,1956,0,8.5475,4.5200000000000005,1.245,40.975,0.0,55.0,1685000.0,11,0.13
94,94,ARM,1960,0,5.952249999999999,4.515,3.85,41.05,0.0,59.75,1937500.0,11,0.15
95,95,ARM,1964,0,7.22175,4.0625,4.2175,41.125,0.0,63.175,2202500.0,11,0.0
96,96,ARM,1968,0,6.555,3.3950000000000005,4.5425,41.225,0.0,65.25,2447500.0,11,0.09
97,97,ARM,1972,0,4.8500000000000005,2.985,5.0075,41.325,0.0,67.07499999999999,2680000.0,11,0.79
98,98,ARM,1976,0,2.6645,2.6100000000000003,5.4375,41.4,0.0,69.1,2935000.0,11,0.29
99,99,ARM,1980,0,0.704,2.39,5.5275,41.5,0.0,70.425,3152500.0,11,0.24
100,100,ARM,1984,0,2.172,2.4625,5.6125,41.575,0.0,71.225,3285000.0,11,0.24
101,101,ARM,1988,0,0.15,2.5575,5.46,42.02499999999999,0.0,67.175,3432500.0,11,0.38
102,102,ARM,1992,0,-14.095,2.34,2.16575,43.025,0.0,69.55,3505000.0,11,1.65
103,103,ARM,1996,2,5.0175,1.7,1.00475,42.175,0.067105,70.8,3282500.0,11,1.65
104,104,ARM,2000,1,8.3725,1.275,1.0745,35.55,1.0075,72.375,3155000.0,11,1.06
105,105,ARM,2004,0,13.225,1.3749999999999998,1.335,34.05,4.1725,72.975,3057500.0,11,0.57
106,106,ARM,2008,6,1.7949999999999997,1.4875,1.6625,29.6,8.29,73.625,2972500.0,11,5.17
107,107,ARM,2012,2,4.81,1.65,1.82,30.5,34.1,74.75,2905000.0,11,3.07
108,108,AUS,1896,2,3.01,3.825,1.4175,37.325,0.0,48.175,3472500.0,482,2.39
109,109,AUS,1900,5,0.9975,3.635,2.5975,37.5,0.0,50.3,3725000.0,482,2.48
110,110,AUS,1904,0,5.6450000000000005,3.4475,3.1,37.75,0.0,52.425,3967500.0,482,1.22
111,111,AUS,1908,0,5.645,3.35,3.805,37.775,0.0,54.575,4222500.0,482,2.97
112,112,AUS,1912,0,2.1490000000000005,3.51,4.782500000000001,37.45,0.0,56.7,4540000.0,482,1.7
113,113,AUS,1920,3,5.0775,3.0925,4.46,35.925,0.0,61.325,5325000.0,482,24.41
114,114,AUS,1924,6,4.615,2.9475,4.7,34.675,0.0,62.875,5747500.0,482,13.78
115,115,AUS,1928,4,-2.4665,2.6975,4.09,33.2,0.0,63.75,6182500.0,482,5.6
116,116,AUS,1932,5,2.7975000000000003,2.2075,3.2349999999999994,32.375,0.0,65.675,6505000.0,482,5.53
117,117,AUS,1936,1,4.71,2.18,4.055,31.725,0.0,65.825,6732500.0,482,4.28
118,118,AUS,1948,13,5.317500000000001,3.0325,5.295,33.575,0.0,69.2,7965000.0,482,12.46
119,119,AUS,1952,11,3.7375,3.1575,7.0975,36.25,0.0,69.7,8717500.0,482,9.95
120,120,AUS,1956,35,3.94,3.3625,7.805,35.25,0.0,70.57499999999999,9532500.0,482,9.87
121,121,AUS,1960,22,4.2467500000000005,3.4525,8.637500000000001,34.474999999999994,0.0,71.125,10400000.0,482,16.89
122,122,AUS,1964,18,5.365,3.1,10.065,32.775,0.0,71.1,11250000.0,482,6.2
123,123,AUS,1968,17,6.497499999999999,2.855,11.2,30.775,0.0,71.125,12175000.0,482,6.39
124,124,AUS,1972,17,3.8225,2.585,12.25,29.6,0.0,71.775,13375000.0,482,5.81
125,125,AUS,1976,5,2.735,2.0675,13.2,30.05,0.0,73.10000000000001,14125000.0,482,5.23
126,126,AUS,1980,9,2.3905,1.9125,15.125,31.15,0.0,74.6,14825000.0,482,9.29
127,127,AUS,1984,24,3.71975,1.885,15.15,32.325,0.0,75.6,15700000.0,482,19.13
128,128,AUS,1988,14,3.875,1.86,16.175,32.975,0.0,76.525,16650000.0,482,18.99
129,129,AUS,1992,29,2.931,1.855,16.4,32.85,0.14625,77.725,17550000.0,482,32.27
130,130,AUS,1996,43,4.4125,1.7975,17.425,32.800000000000004,1.7675,78.67500000000001,18300000.0,482,38.13
131,131,AUS,2000,60,3.33,1.765,18.525,33.375,13.31,79.875,19125000.0,482,39.53
132,132,AUS,2004,51,3.4450000000000003,1.84,19.125,33.599999999999994,50.825,81.05,20075000.0,482,46.43
133,133,AUS,2008,50,3.0600000000000005,1.9325,18.85,34.974999999999994,70.375,81.8,21425000.0,482,43.74
134,134,AUS,2012,38,2.75,1.8925,17.425,34.5,79.5,82.57499999999999,23000000.0,482,41.45
135,135,AUT,1896,5,3.215,4.37,3.8625,36.8,0.0,39.875,5770000.0,309,3.74
136,136,AUT,1900,6,2.03925,4.342499999999999,4.4350000000000005,36.9,0.0,41.375,6010000.0,309,4.02
137,137,AUT,1904,1,3.205,4.075,4.5575,36.95,0.0,41.025000000000006,6262500.0,309,2.24
138,138,AUT,1908,1,2.144,3.8025,7.717499999999999,37.0,0.0,43.525000000000006,6505000.0,309,7.74
139,139,AUT,1912,4,-2.2117500000000003,3.3825000000000003,7.8525,37.1,0.0,45.925,6577500.0,309,9.84
140,140,AUT,1920,0,2.8625,3.0224999999999995,2.13625,37.2,0.0,50.45,6495000.0,309,9.7
141,141,AUT,1924,8,4.76775,2.9,2.875,37.3,0.0,52.725,6565000.0,309,9.2
142,142,AUT,1928,9,1.59,2.385,3.1725,37.35,0.0,54.97500000000001,6652500.0,309,10.31
143,143,AUT,1932,7,-5.19525,2.0325,2.29,37.4,0.0,56.85,6697500.0,309,7.85
144,144,AUT,1936,18,5.765000000000001,1.7675,1.8135,37.5,0.0,58.05,6705000.0,309,10.36
145,145,AUT,1948,12,17.225,1.87,3.2475,38.375,0.0,63.150000000000006,6907500.0,309,13.87
146,146,AUT,1952,10,5.359999999999999,2.0825,3.3025,40.5,0.0,66.675,6932500.0,309,10.22
147,147,AUT,1956,14,6.949999999999999,2.4875,4.1075,43.775000000000006,0.0,67.92500000000001,6965000.0,309,12.14
148,148,AUT,1960,8,4.68,2.745,4.3875,46.35,0.0,69.2,7070000.0,309,7.31
149,149,AUT,1964,12,4.632499999999999,2.745,5.265000000000001,47.475,0.0,70.025,7245000.0,309,6.51
150,150,AUT,1968,15,5.2525,2.4975,5.949999999999999,46.775000000000006,0.0,70.225,7425000.0,309,12.3
151,151,AUT,1972,8,4.9350000000000005,2.035,7.430000000000001,44.75,0.0,70.85000000000001,7555000.0,309,7.62
152,152,AUT,1976,7,2.2481,1.6875,7.3925,41.3,0.0,71.94999999999999,7567500.0,309,7.17
153,153,AUT,1980,11,2.278,1.645,7.325,34.2,0.0,72.94999999999999,7560000.0,309,7.84
154,154,AUT,1984,4,2.04725,1.5,7.0325,27.075000000000003,0.0,74.1,7562500.0,309,8.3
155,155,AUT,1988,11,3.22,1.4475,7.377499999999999,24.625,0.0325,75.575,7612500.0,309,14.07
156,156,AUT,1992,32,1.98325,1.4974999999999998,7.907500000000001,29.375,0.76425,76.39999999999999,7862500.0,309,25.84
157,157,AUT,1996,20,2.5925,1.4075,8.315,30.425,8.4325,77.475,7965000.0,309,20.74
158,158,AUT,2000,20,2.2125,1.3575,8.487499999999999,29.125,33.125,78.65,8030000.0,309,19.85
159,159,AUT,2004,30,2.6625,1.405,9.4875,29.4,54.65,79.625,8197500.0,309,26.21
160,160,AUT,2008,19,0.8524999999999999,1.4049999999999998,8.627500000000001,30.7,72.75,80.525,8327500.0,309,18.04
161,161,AUT,2012,17,1.1093333333333333,1.465,7.979999999999999,30.65,80.8,81.275,8485000.0,309,16.04
162,162,AZE,1896,0,1.7619999999999998,8.055,0.4645,60.45,0.0,27.875,1870000.0,26,0.26
163,163,AZE,1900,0,4.6375,7.935,0.67175,58.925,0.0,27.25,1950000.0,26,0.25
164,164,AZE,1904,0,-2.2675,7.815,0.6824999999999999,57.45,0.0,27.475,2030000.0,26,0.02
165,165,AZE,1908,0,4.8125,7.695,0.80925,56.0,0.0,27.8,2115000.0,26,0.06
166,166,AZE,1912,0,1.0724999999999998,7.575,0.91575,54.625,0.0,29.25,2202500.0,26,0.35
167,167,AZE,1920,0,-0.6449999999999996,7.335,0.2665,51.925,0.0,25.35,2382500.0,26,0.0
168,168,AZE,1924,0,20.75,7.2075,0.42175,50.625,0.0,28.675000000000004,2472500.0,26,0.08
169,169,AZE,1928,0,4.61,6.9825,0.8380000000000001,49.35,0.0,29.725,2562500.0,26,0.0
170,170,AZE,1932,0,3.9325,6.7125,1.5725,48.150000000000006,0.0,25.65,2660000.0,26,0.29
171,171,AZE,1936,0,8.178,6.4,2.4275,46.95,0.0,31.525,2757500.0,26,0.18
172,172,AZE,1948,0,11.3025,5.379999999999999,3.4125,43.5,0.0,34.7,3087500.0,26,0.11
173,173,AZE,1952,0,4.984999999999999,5.275,4.425000000000001,42.4,0.0,39.8,3340000.0,26,0.46
174,174,AZE,1956,0,8.2375,5.532500000000001,5.695,41.375,0.0,43.875,3707500.0,26,0.06
175,175,AZE,1960,0,5.76425,5.8925,5.289999999999999,40.325,0.0,49.35,4202500.0,26,0.3
176,176,AZE,1964,0,7.147,5.8225,5.805,39.3,0.0,54.925,4767500.0,26,0.1
177,177,AZE,1968,0,6.317500000000001,5.2675,6.3025,38.35,0.0,58.5,5262500.0,26,0.34
178,178,AZE,1972,0,4.5225,4.595,7.062499999999999,37.375,0.0,62.35,5680000.0,26,0.61
179,179,AZE,1976,0,2.70175,3.95,7.7875,36.425,0.0,64.9,6070000.0,26,0.91
180,180,AZE,1980,0,1.0055,3.465,7.947500000000001,35.525000000000006,0.0,66.17500000000001,6430000.0,26,0.05
