country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.00456,0.0879,0.106,1.22,2.11,1.9,1.84,3.55,4.0,5.0,5.45,5.9,8.26,11.0,13.5,16.8,17.6,18.4
UAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.375,3.3,6.91,14.9,23.6,26.3,28.3,29.5,30.1,40.0,52.0,61.0,63.0,64.0,68.0,78.0,85.0,88.0,90.5,90.6,94.8,98.5,99.2,100.0,100.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00299,0.0295,0.0437,0.0863,0.142,0.28,0.831,3.28,7.04,9.78,10.9,11.9,16.0,17.7,20.9,25.9,28.1,34.0,45.0,51.0,55.8,59.9,68.0,71.0,74.3,77.7,79.9,85.5,87.1
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00912,0.0527,0.0946,0.112,0.129,0.971,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25.0,32.0,37.5,41.9,59.1,64.3,64.7,68.2,66.5,76.5
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585,1.1,1.77,1.97,2.23,2.76,3.28,16.4,30.8,40.8,46.8,52.7,63.0,66.0,69.5,71.7,74.3,76.0,79.5,79.0,83.5,84.6,86.5,86.5,87.6,88.6,89.6
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.259,0.643,0.765,1.39,1.89,6.91,9.53,15.4,23.0,33.7,39.2,36.6,42.7,54.3,58.0,63.6,69.4,72.9,73.5,75.2,78.7,80.0,80.6,83.9,84.3,87.9,87.5,87.8,87.5,92.5
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00143,0.00206,0.00635,0.0252,0.0375,0.0992,0.148,0.306,5.0,8.03,12.0,14.5,17.1,27.4,46.0,50.0,54.2,73.0,77.0,78.2,79.0,79.8,81.1,84.6
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.00798,0.0158,0.0392,0.0772,0.106,0.118,0.201,0.349,0.542,0.658,0.7,0.81,0.9,1.0,1.11,1.22,1.26,2.0,2.2,2.66,4.1,6.2,9.4
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101,0.0201,0.1,0.199,0.696,0.992,2.97,4.94,7.89,13.8,29.4,31.3,46.3,50.0,53.9,55.8,59.7,64.4,66.0,70.0,75.0,81.6,80.7,82.2,85.1,86.5,87.7,88.6,90.3,91.5,92.8
BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234,0.0195,0.12,0.725,1.22,1.84,2.91,5.37,7.61,9.08,12.0,18.1,20.0,27.1,33.6,39.7,45.0,46.2,48.0,51.9,53.1,56.7,59.8,63.4,64.8,67.9,70.2,75.3
